Titolo;Data;Descrizione;Tipo;Genere;Evento-Rassegna;Tag;Luogo;Personaggi;Gruppi;Organizzazioni;Fonti;Risorse online;Media;Slug;Stato record;NOTE
Cafè Caracas;1980-01-19;;concerto;sperimentale, dark_wave;;;;;;;;;;;;
Chetaah Chrome and The Mother fuckers;1980-01-31;;concerto;;;;;;;;;;;;;
Larry Martin Factory;1980-02-23;;concerto;;;;;;;;;;;;;
Elettricità;1980-02-29;;performance;;;;;;;;;;;;;
Laurie Anderson;1980-03-06;;concerto;;;;;;;;;;;;;
The Raincoats;1980-04-09;;concerto;;;;;;;;;;;;;
Crollo Nervoso;1980-04-30;;performance;;;;;;;;;;;;;
Lene Lovich;1980-05-01;;concerto;;;;;;;;;;;;;
Iggy Pop;1980-05-11;;concerto;;;;;;;;;;;;;
Elettricità;1980-06-04;;;;;;;;;;;;;;;
Lou Reed;1980-06-14;;concerto;;;;;;;;;;;;;
Urban Sax;1980-06-30;;concerto;;;;;;;;;;;;;
Merton Parkas/Eddy Grant;1980-07-10;;concerto;;;;;;;;;;;;;
Neon/Victrola/Sniff/Cafè Caracas;1980-08-24;;concerto;;;;;;;;;;;;;
Herman Nischt;1980-09-20;;performance;;;;;;;;;;;;;
Peter Gabriel/Simple Minds;1980-09-28;;concerto;;;;;;;;;;;;;
Litfiba;1980-12-06;;concerto;;;;;;;;;;;;;
Kandeggina Gang;1980-12-24;;concerto;;;;;;;;;;;;;
Luti Chroma;1981-01-28;;concerto;;;;;;;;;;;;;
Roscoe Mitchell;1981-02-03;;concerto;;;;;;;;;;;;;
Dollar Brand;1981-02-25;;concerto;;;;;;;;;;;;;
Bad Manners;1981-03-09;;concerto;;;;;;;;;;;;;
UK Subs;1981-03-31;;concerto;;;;;;;;;;;;;
Metalvox;1981-04-01;;concerto;;;;;;;;;;;;;
Band Aid;1981-04-08;;;;;;;;;;;;;;;
Snakefinger/Pale TV;1981-04-15;;;;;;;;;;;;;;;
The Clash;1981-05-23;;concerto;;;;;;;;;;;;;
Kraftwerk;1981-05-25;;concerto;;;;;;;;;;;;;
Gaia Scienza;1981-06-16;;performance;;;;;;;;;;;;;
Spandau Ballet;1981-06-18;;concerto;;;;;;;;;;;;;
Siouxie And The Banshees/Litfiba;1981-06-20;;concerto;;;;;;;;;;;;;
Winston Tong;1981-06-26;;performance;;;;;;;;;;;;;
Echo and The Bunnymen/Neon;1981-06-29;;concerto;;;;;;;;;;;;;
Cathy Berberian;1981-07-17;;concerto;;;;;;;;;;;;;
Modern English;1981-10-02;;concerto;;;;;;;;;;;;;
Ginger Baker;1981-10-18;;concerto;;;;;;;;;;;;;
