form_record_id;Titolo;Data;Descrizione;Tipo;Genere;Evento-Rassegna;Tag;Luogo;Personaggi;Gruppi;Organizzazioni;Fonti;Risorse online;Media;Slug;Stato record;NOTE
rec-d6eab85b30ac4267a6433774fb481dfd;Cafè Caracas;1980-01-19;;concerto;sperimentale, dark_wave;;;;;;;;;;;;
rec-61c406e9dc594909b21547aab86549ee;Chetaah Chrome and The Mother fuckers;1980-01-31;;concerto;;;;;;;;;;;;;
rec-755d1ced23f74ed7b105b0f5c630f7de;Larry Martin Factory;1980-02-23;;concerto;;;;;;;;;;;;;
rec-200e9a743cf24182af3e9613f5b5493e;Elettricità;1980-02-29;;performance;;;;;;;;;;;;;
rec-a7924383ec894700a498a74e86eb0b65;Laurie Anderson;1980-03-06;;concerto;;;;;;;;;;;;;
rec-cb3b68edab464c64b5eb24044aafb93e;The Raincoats;1980-04-09;;concerto;;;;;;;;;;;;;
rec-df9c4ee510164bfdaa725bf2815f3373;Crollo Nervoso;1980-04-30;;performance;;;;;;;;;;;;;
rec-d279a0807b774e2d8e51a156d9562c31;Lene Lovich;1980-05-01;;concerto;;;;;;;;;;;;;
rec-727d4d03c0af49bda529d334d9c36cd9;Iggy Pop;1980-05-11;;concerto;;;;;;;;;;;;;
rec-9b6df2071aab415dabf0e0b491d9ba6d;Elettricità;1980-06-04;;;;;;;;;;;;;;;
rec-336d4fe090154d43b5018b1e1d6cefa8;Lou Reed;1980-06-14;;concerto;;;;;;;;;;;;;
rec-fb9bee566cd642baac826ed4781afd88;Urban Sax;1980-06-30;;concerto;;;;;;;;;;;;;
rec-8bf67ff3dca348cf940154f71d94623f;Merton Parkas/Eddy Grant;1980-07-10;;concerto;;;;;;;;;;;;;
rec-abe61cb5d421481fb74e75d964e6bf80;Neon/Victrola/Sniff/Cafè Caracas;1980-08-24;;concerto;;;;;;;;;;;;;
rec-74b123f0e89e40c0a7f7350d586db86b;Herman Nischt;1980-09-20;;performance;;;;;;;;;;;;;
rec-ee4d8d7455014e7e827a1ab2e7a1d346;Peter Gabriel/Simple Minds;1980-09-28;;concerto;;;;;;;;;;;;;
rec-d30436137156446ca801cac6b5428ff6;Litfiba;1980-12-06;;concerto;;;;;;;;;;;;;
rec-f46f89033e09486f83126631262758e2;Kandeggina Gang;1980-12-24;;concerto;;;;;;;;;;;;;
rec-da4e9d82b175443094a9ee7e03d71154;Luti Chroma;1981-01-28;;concerto;;;;;;;;;;;;;
rec-1f2c52666fd74a90a42c99ab03c8eb05;Roscoe Mitchell;1981-02-03;;concerto;;;;;;;;;;;;;
rec-95fe6eefd2474453b0b663bfd5d6e922;Dollar Brand;1981-02-25;;concerto;;;;;;;;;;;;;
rec-7d04523b72404d078c9844e2500a2a30;Bad Manners;1981-03-09;;concerto;;;;;;;;;;;;;
rec-b88d320544d541ad8c6d0b881decb052;UK Subs;1981-03-31;;concerto;;;;;;;;;;;;;
rec-78af6f1e9ede4139bab07a0413c19586;Metalvox;1981-04-01;;concerto;;;;;;;;;;;;;
