form_record_id;parent_form_id;parent_field_id;parent_record_id;Nome;Tipo;Attivo dal...;fino al...;Eventi;Personaggi-Gruppi;Biografia;Stato record
rec-3d1c6f7dbe8844feb713cdeab6091f27;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-d6eab85b30ac4267a6433774fb481dfd;Cafè Caracas;;;;;;;
rec-64d03a1de68f4622ad5aee35a4dd8a08;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-61c406e9dc594909b21547aab86549ee;Chetaah Chrome and The Mother fuckers;;;;;;;
rec-f5d20a6b3cb44e46a863019d3574d811;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-755d1ced23f74ed7b105b0f5c630f7de;Larry Martin Factory;;;;;;;
rec-6b8702f40c9945ed9e1da5ee08adef38;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-cb3b68edab464c64b5eb24044aafb93e;The Raincoats;;;;;;;
rec-5b293f4a2fee49e2af9afd9345d63527;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-df9c4ee510164bfdaa725bf2815f3373;Magazzini Criminali;;;;;;;
rec-d0cda9a0de564fa898169515889b38c3;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-fb9bee566cd642baac826ed4781afd88;Urban Sax;;;;;;;
rec-f68ad9b5120842a6a9a783249a06c2a9;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-8bf67ff3dca348cf940154f71d94623f;Merton Parkas;;;;;;;
rec-3d1c6f7dbe8844feb713cdeab6091f27;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-abe61cb5d421481fb74e75d964e6bf80;Cafè Caracas;;;;;;;
rec-063fe6b599a74b349ad87333df25fd61;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-abe61cb5d421481fb74e75d964e6bf80;Neon;;;;;;;
rec-ed9f1a4fb9534451bff892d86351547f;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-abe61cb5d421481fb74e75d964e6bf80;Sniff;;;;;;;
rec-eae865229b1f4a2cb27ac67fe03908d5;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-abe61cb5d421481fb74e75d964e6bf80;Victrola;;;;;;;
rec-608ebe9a38834a0fa1f69fc916c24cf9;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-ee4d8d7455014e7e827a1ab2e7a1d346;Simple Minds;;;;;;;
rec-701cb692c3d74f1d8f2db63db04eef83;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-d30436137156446ca801cac6b5428ff6;Litfiba;;;;;;;
rec-1feb3574c7fa4e308af141cbe2cd868a;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-f46f89033e09486f83126631262758e2;Kandeggina Gang;;;;;;;
rec-ec72c8e553d948ac88c6722efa48832a;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-da4e9d82b175443094a9ee7e03d71154;Luti Chroma;;;;;;;
rec-94b0ce8488d348ac8300dd852733bf55;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-7d04523b72404d078c9844e2500a2a30;Bad Manners;;;;;;;
rec-d7aa79f7bd704b7f8f4b87ef8c922cbd;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-b88d320544d541ad8c6d0b881decb052;UK Subs;;;;;;;
rec-6514b449ea35449696eb4b54b905f3bf;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-78af6f1e9ede4139bab07a0413c19586;Metalvox;;;;;;;
rec-b6e47742c20043fbb6f0f0be734b705b;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-ca664a1b8eb14a558aba317e7e842ce4;Band Aid;;;;;;;
rec-c370458ddc0544af902ebf0d10fd2bd0;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-c59c3ba790df4bdfbfcca2771a80deec;Pale TV;;;;;;;
rec-c2053af0b06b4420a5e855dd28db5093;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-69ffb578b6954200ac6321508bf173f3;The Clash;;;;;;;
rec-39f25a810a784eb49eed7a462677e54e;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-5032ddf2953b4f3dae4039b0fbc45d50;Kraftwerk;;;;;;;
rec-99a8a623d0c548ffa537ab43ad2d1f8e;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-9319ed5ca0584b619279327cd02581d6;Gaia Scienza;;;;;;;
rec-446f276764be4993bc2a50dd2284d5d4;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-00dc11abb2c14fa7bf60c41c2771cbae;Spandau Ballet;;;;;;;
rec-38f4d016555a4fbe9f8c08b7f1cdebf1;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-b1d24f8073d8497eb26334b976a96c4e;Siouxie And The Banshees;;;;;;;
rec-7114340d72c44cd98bcf398c58b05a6b;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-f2b37c5845154670b9640b886c7fab1b;Echo and The Bunnymen;;;;;;;
rec-0045afcd15714a44af89e894d4a53b0f;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-11d68a1301d848bfb817fbcdaa6e591c;Modern English;;;;;;;
rec-9c37c230aab04f38b64d64867acaa24c;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-74c212b01a7249208577f0ed8405ac75;Killing Joke;;;;;;;
rec-14ca8992dd5e43ccb7a341c8184636e9;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-96028aa01c6f483082ec60b7965e9807;Lounge Lizards;;;;;;;
rec-5cf1b2abf30c4eb2b00becb9cd93cd0b;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-836a9e5726474905860e702b2f974850;Johnson Righeira;;;;;;;
rec-701cb692c3d74f1d8f2db63db04eef83;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-836a9e5726474905860e702b2f974850;Litfiba;;;;;;;
rec-c01c31ccc30a4480b04f4dd788a5ed97;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-0da89708e5a94d49912b6016f845bbec;Tuxedomoon;;;;;;;
rec-08a58c4923ef41f991e5973e60dfb7ab;frm-9821443cdb6d48b18f5a09b454328e37;fld-5870bfd8a2b2453c9528543186539926;rec-2e82068f4ab34a4cba358c5dbb8d2d79;Diaframma;;;;;;;
