form_record_id;parent_form_id;parent_field_id;parent_record_id;Nome completo;Cognome;Nome;Aka;Ruolo;Bio;Slug;Stato record;Eventi;Personaggi-Gruppi
rec-93b819fce4d9444d9c86696aa9977c31;frm-9821443cdb6d48b18f5a09b454328e37;fld-05cd3fa8bf5940b9aa8b475b10f25e2b;rec-a7924383ec894700a498a74e86eb0b65;Laurie Anderson;Anderson;Laurie;;;;;;;
rec-c42e2da1d8b74992b5c7d7a7bff37570;frm-9821443cdb6d48b18f5a09b454328e37;fld-05cd3fa8bf5940b9aa8b475b10f25e2b;rec-d279a0807b774e2d8e51a156d9562c31;Lene Lovich;Lovich;Lene;;;;;;;
rec-7154e57efb2b40e7bc9b1b85b802255e;frm-9821443cdb6d48b18f5a09b454328e37;fld-05cd3fa8bf5940b9aa8b475b10f25e2b;rec-727d4d03c0af49bda529d334d9c36cd9;Osterberg James Newell;James Newell;Osterberg;Iggy Pop;;;;;;
rec-e3aa3700687b45acb9b4e32d35ff9240;frm-9821443cdb6d48b18f5a09b454328e37;fld-05cd3fa8bf5940b9aa8b475b10f25e2b;rec-336d4fe090154d43b5018b1e1d6cefa8;Lou Reed;Reed;Lou;;;;;;;
rec-219f8d1d42514cb2b9862c2c31aad48c;frm-9821443cdb6d48b18f5a09b454328e37;fld-05cd3fa8bf5940b9aa8b475b10f25e2b;rec-8bf67ff3dca348cf940154f71d94623f;Eddy Grant;Grant;Eddy;;;;;;;
rec-576b0f305e344f599af47075e0db3a37;frm-9821443cdb6d48b18f5a09b454328e37;fld-05cd3fa8bf5940b9aa8b475b10f25e2b;rec-74b123f0e89e40c0a7f7350d586db86b;Herman Nischt;Nischt;Herman;;;;;;;
rec-e1e165a33b2d40d0ac189287ad42975e;frm-9821443cdb6d48b18f5a09b454328e37;fld-05cd3fa8bf5940b9aa8b475b10f25e2b;rec-ee4d8d7455014e7e827a1ab2e7a1d346;Peter Gabriel;Gabriel;Peter;;;;;;;
rec-d61eb55336534f1f90a0a37b40e9435e;frm-9821443cdb6d48b18f5a09b454328e37;fld-05cd3fa8bf5940b9aa8b475b10f25e2b;rec-1f2c52666fd74a90a42c99ab03c8eb05;Roscoe Mitchell;Mitchell;Roscoe;;;;;;;
rec-fed46fc206864f59be1613a4a9e0d838;frm-9821443cdb6d48b18f5a09b454328e37;fld-05cd3fa8bf5940b9aa8b475b10f25e2b;rec-95fe6eefd2474453b0b663bfd5d6e922;Dollar Brand;Brand;Dollar;;;;;;;
rec-863aec30185e4548875093b44c4ddff0;frm-9821443cdb6d48b18f5a09b454328e37;fld-05cd3fa8bf5940b9aa8b475b10f25e2b;rec-c59c3ba790df4bdfbfcca2771a80deec;Philip Charles Lithman;Lithman;Philip Charles;Snakefinger;;;;;;
